date,start,destination,distance_km,transport_mode,co2_kg,cost_rs,eco_score
2026-08-21 22:15:41,Virar,Mumbai,8.0,3,0.46,80.0,95
2026-09-14 23:32:00,Virar,Churchgate,74.7,0,6.79,747.0,32
2026-09-14 23:36:43,Virar,Churchgate,74.7,0,6.79,747.0,32
2026-09-16 00:46:16,Virar,Churchgate,74.7,2,1.13,747.0,88
2026-09-16 00:47:40,Virar,Churchgate,74.7,2,1.13,747.0,88
2026-09-16 01:09:22,Virar,Churchgate,74.7,2,1.13,747.0,88
2026-09-16 01:12:16,Virar,Churchgate,74.7,2,1.13,747.0,88
2026-09-16 01:14:29,Virar,Dahisar,37.1,2,1.13,371.0,88
2026-09-16 01:15:52,Virar,Dahisar,37.1,1,2.62,371.0,73
2026-09-16 01:16:01,Virar,Dahisar,37.1,2,1.13,371.0,88
2026-09-16 01:16:20,Virar,Nalasopara,4.6,3,0.26,46.0,97
2026-09-16 01:16:25,Virar,Nalasopara,4.6,0,1.01,46.0,89
2026-09-16 01:16:30,Virar,Nalasopara,4.6,3,0.26,46.0,97
2026-09-16 01:21:47,Virar,Churchgate,74.7,2,1.13,747.0,88
2026-09-16 01:24:47,Virar,Bandra,59.7,1,2.94,597.0,70
2026-09-16 02:29:14,Gateway of India,Vasai,69.0,2,1.13,690.0,88
2026-09-16 02:30:23,Palghar,Virar,70.3,2,1.13,703.0,88
2026-09-16 02:35:46,Virar,Churchgate,74.7,2,1.13,747.0,88
2026-09-16 02:39:55,Virar,Nalasopara,4.6,3,0.26,46.0,97
2026-09-17 11:28:42,Jerez de la Frontera,Cádiz,31.5,2,1.13,315.0,88
