transport_mode,distance_km,weather,time_of_day,co2_kg
0,13.71,0,15,3.218
0,25.73,0,8,6.107
2,9.62,1,16,0.367
1,13.3,0,23,1.335
2,4.04,0,16,0.173
1,20.52,1,15,2.095
1,6.76,0,18,0.764
3,16.86,0,1,1.02
3,25.75,1,8,1.862
2,13.8,0,13,0.529
4,19.39,0,19,0.033
0,16.32,0,13,4.361
0,28.02,0,5,4.387
0,7.86,1,12,1.005
2,24.64,0,13,1.099
0,9.72,1,0,2.752
1,8.34,0,9,0.654
3,13.29,1,12,0.502
0,17.71,0,8,3.389
3,8.32,1,0,0.587
3,21.45,0,0,0.85
1,14.99,1,5,1.168
4,7.49,0,22,0.012
0,17.06,1,19,5.457
0,6.92,0,19,1.229
4,9.71,1,4,0.016
4,19.87,1,2,0.028
1,27.66,1,8,2.356
1,6.92,1,20,0.655
3,27.29,0,8,1.236
0,21.92,0,16,5.044
1,9.06,0,1,0.971
0,4.65,0,21,1.008
4,23.55,0,0,0.039
4,22.61,0,21,0.016
0,29.21,0,10,5.738
2,14.4,1,19,0.761
3,20.22,0,12,1.336
0,12.16,0,11,1.826
1,23.29,0,18,2.064
2,23.47,0,18,0.875
3,24.69,0,22,0.822
2,2.01,0,3,0.09
2,9.64,0,11,0.248
2,23.96,1,0,0.967
1,29.52,0,20,2.101
3,12.55,1,14,1.027
1,21.61,0,22,1.324
2,23.58,0,14,0.932
2,21.15,0,7,1.013
0,21.74,0,18,3.645
3,14.17,0,1,0.818
4,25.36,1,23,0.036
0,18.19,0,0,4.124
2,28.28,1,20,0.672
3,10.17,0,7,0.456
4,23.91,0,3,0.04
3,11.12,0,21,0.615
0,5.32,0,23,1.373
4,29.24,1,13,0.039
3,0.71,1,1,0.028
4,15.99,1,4,0.025
4,21.8,0,18,0.013
1,12.29,1,16,1.03
1,29.01,1,4,2.891
2,13.47,1,10,0.576
3,20.84,0,19,1.314
1,25.87,1,17,2.336
0,28.33,0,16,4.118
3,7.27,0,19,0.369
0,18.74,0,4,3.21
3,1.91,0,3,0.104
1,22.32,1,3,2.081
1,12.95,1,16,1.044
1,6.23,1,22,0.65
2,1.34,1,7,0.051
1,29.9,1,13,2.712
4,8.94,0,22,0.015
4,10.2,0,8,0.02
0,21.01,0,17,2.963
3,22.24,0,8,0.815
1,13.48,1,0,1.242
1,7.91,1,18,0.731
1,13.97,1,1,1.312
0,7.47,1,22,1.87
1,4.64,0,17,0.443
4,11.7,1,9,0.01
2,13.64,0,21,0.285
0,18.63,1,18,5.405
2,22.53,1,0,0.754
4,2.48,0,12,0.01
1,13.72,1,21,1.218
4,6.7,1,16,0.012
3,8.52,0,4,0.492
4,29.89,1,9,0.028
2,6.11,1,13,0.18
2,17.59,0,0,0.743
3,19.28,1,1,0.749
4,5.77,1,11,0.01
1,21.35,1,3,2.204
3,4.25,0,10,0.261
2,1.49,1,6,0.077
0,25.88,0,12,3.843
0,17.76,1,18,5.212
2,14.83,1,3,0.65
2,22.65,0,6,0.719
1,23.73,0,6,2.357
4,13.79,0,23,0.018
4,23.64,0,1,0.048
2,2.3,0,12,0.087
2,17.46,1,16,0.92
3,25.81,1,8,1.764
3,8.15,1,0,0.527
1,9.18,0,20,0.866
4,16.17,1,12,0.035
4,21.66,1,15,0.026
2,2.35,1,8,0.131
